y_idx,n_pre_struct,n_pre_weighted,max_weight,col_entropy,col_sum
0,60,60,2.500000e-01,1.680777,9.523810e-01
1,60,60,5.000000e-01,1.680777,1.904762e+00
2,60,60,2.500000e-01,1.404093,8.095238e-01
3,60,60,1.250000e-01,1.680777,4.761905e-01
4,60,60,6.250000e-02,1.680777,2.380952e-01
5,60,60,5.000000e-01,1.404093,1.619048e+00
6,60,60,2.500000e-01,1.680777,9.523810e-01
7,60,60,5.000000e-01,1.680777,1.904762e+00
8,60,60,2.500000e-01,1.404093,8.095238e-01
9,60,60,1.250000e-01,1.680777,4.761905e-01
10,60,60,6.250000e-02,1.680777,2.380952e-01
11,60,60,5.000000e-01,1.404093,1.619048e+00
12,60,60,2.500000e-01,1.680777,9.523810e-01
13,60,60,5.000000e-01,1.680777,1.904762e+00
14,60,60,2.500000e-01,1.404093,8.095238e-01
15,60,60,1.250000e-01,1.680777,4.761905e-01
16,60,60,6.250000e-02,1.680777,2.380952e-01
17,60,60,5.000000e-01,1.404093,1.619048e+00
18,60,60,2.500000e-01,1.680777,9.523810e-01
19,60,60,5.000000e-01,1.680777,1.904762e+00
20,60,60,2.500000e-01,1.404093,8.095238e-01
21,60,60,1.250000e-01,1.680777,4.761905e-01
22,60,60,6.250000e-02,1.680777,2.380952e-01
23,60,60,5.000000e-01,1.404093,1.619048e+00
24,60,60,2.500000e-01,1.680777,9.523810e-01
25,60,60,5.000000e-01,1.680777,1.904762e+00
26,60,60,2.500000e-01,1.404093,8.095238e-01
27,60,60,1.250000e-01,1.680777,4.761905e-01
28,60,60,6.250000e-02,1.680777,2.380952e-01
29,60,60,5.000000e-01,1.404093,1.619048e+00
30,60,60,2.500000e-01,1.680777,9.523810e-01
31,60,60,5.000000e-01,1.680777,1.904762e+00
32,60,60,2.500000e-01,1.404093,8.095238e-01
33,60,60,1.250000e-01,1.680777,4.761905e-01
34,60,60,6.250000e-02,1.680777,2.380952e-01
35,60,60,5.000000e-01,1.404093,1.619048e+00
36,60,60,2.500000e-01,1.680777,9.523810e-01
37,60,60,5.000000e-01,1.680777,1.904762e+00
38,60,60,2.500000e-01,1.404093,8.095238e-01
39,60,60,1.250000e-01,1.680777,4.761905e-01
40,60,60,6.250000e-02,1.680777,2.380952e-01
41,60,60,5.000000e-01,1.404093,1.619048e+00
42,60,60,2.500000e-01,1.680777,9.523810e-01
43,60,60,5.000000e-01,1.680777,1.904762e+00
44,60,60,2.500000e-01,1.404093,8.095238e-01
45,60,60,1.250000e-01,1.680777,4.761905e-01
46,60,60,6.250000e-02,1.680777,2.380952e-01
47,60,60,5.000000e-01,1.404093,1.619048e+00
48,60,60,2.500000e-01,1.680777,9.523810e-01
49,60,60,5.000000e-01,1.680777,1.904762e+00
50,60,60,2.500000e-01,1.404093,8.095238e-01
51,60,60,1.250000e-01,1.680777,4.761905e-01
52,60,60,6.250000e-02,1.680777,2.380952e-01
53,60,60,5.000000e-01,1.404093,1.619048e+00
54,60,60,2.500000e-01,1.680777,9.523810e-01
55,60,60,5.000000e-01,1.680777,1.904762e+00
56,60,60,2.500000e-01,1.404093,8.095238e-01
57,60,60,1.250000e-01,1.680777,4.761905e-01
58,60,60,6.250000e-02,1.680777,2.380952e-01
59,60,60,5.000000e-01,1.404093,1.619048e+00
60,60,60,2.500000e-01,1.680777,9.523810e-01
61,60,60,5.000000e-01,1.680777,1.904762e+00
62,60,60,2.500000e-01,1.404093,8.095238e-01
63,60,60,1.250000e-01,1.680777,4.761905e-01
64,60,60,6.250000e-02,1.680777,2.380952e-01
65,60,60,5.000000e-01,1.404093,1.619048e+00
66,60,60,2.500000e-01,1.680777,9.523810e-01
67,60,60,5.000000e-01,1.680777,1.904762e+00
68,60,60,2.500000e-01,1.404093,8.095238e-01
69,60,60,1.250000e-01,1.680777,4.761905e-01
70,60,60,6.250000e-02,1.680777,2.380952e-01
71,60,60,5.000000e-01,1.404093,1.619048e+00
72,60,60,2.500000e-01,1.680777,9.523810e-01
73,60,60,5.000000e-01,1.680777,1.904762e+00
74,60,60,2.500000e-01,1.404093,8.095238e-01
75,60,60,1.250000e-01,1.680777,4.761905e-01
76,60,60,6.250000e-02,1.680777,2.380952e-01
77,60,60,5.000000e-01,1.404093,1.619048e+00
78,60,60,2.500000e-01,1.680777,9.523810e-01
79,60,60,5.000000e-01,1.680777,1.904762e+00
80,60,60,2.500000e-01,1.404093,8.095238e-01
81,60,60,1.250000e-01,1.680777,4.761905e-01
82,60,60,6.250000e-02,1.680777,2.380952e-01
83,60,60,5.000000e-01,1.404093,1.619048e+00
84,60,60,2.500000e-01,1.680777,9.523810e-01
85,60,60,5.000000e-01,1.680777,1.904762e+00
86,60,60,2.500000e-01,1.404093,8.095238e-01
87,60,60,1.250000e-01,1.680777,4.761905e-01
88,60,60,6.250000e-02,1.680777,2.380952e-01
89,60,60,5.000000e-01,1.404093,1.619048e+00
90,60,60,2.500000e-01,1.680777,9.523810e-01
91,60,60,5.000000e-01,1.680777,1.904762e+00
92,60,60,2.500000e-01,1.404093,8.095238e-01
93,60,60,1.250000e-01,1.680777,4.761905e-01
94,60,60,6.250000e-02,1.680777,2.380952e-01
95,60,60,5.000000e-01,1.404093,1.619048e+00
96,60,60,2.500000e-01,1.680777,9.523810e-01
97,60,60,5.000000e-01,1.680777,1.904762e+00
98,60,60,2.500000e-01,1.404093,8.095238e-01
99,60,60,1.250000e-01,1.680777,4.761905e-01
100,60,60,6.250000e-02,1.680777,2.380952e-01
101,60,60,5.000000e-01,1.404093,1.619048e+00
102,60,60,2.500000e-01,1.680777,9.523810e-01
103,60,60,5.000000e-01,1.680777,1.904762e+00
104,60,60,2.500000e-01,1.404093,8.095238e-01
105,60,60,1.250000e-01,1.680777,4.761905e-01
106,60,60,6.250000e-02,1.680777,2.380952e-01
107,60,60,5.000000e-01,1.404093,1.619048e+00
108,60,60,2.500000e-01,1.680777,9.523810e-01
109,60,60,5.000000e-01,1.680777,1.904762e+00
110,60,60,2.500000e-01,1.404093,8.095238e-01
111,60,60,1.250000e-01,1.680777,4.761905e-01
112,60,60,6.250000e-02,1.680777,2.380952e-01
113,60,60,5.000000e-01,1.404093,1.619048e+00
114,60,60,2.500000e-01,1.680777,9.523810e-01
115,60,60,5.000000e-01,1.680777,1.904762e+00
116,60,60,2.500000e-01,1.404093,8.095238e-01
117,60,60,1.250000e-01,1.680777,4.761905e-01
118,60,60,6.250000e-02,1.680777,2.380952e-01
119,60,60,5.000000e-01,1.404093,1.619048e+00
120,60,60,2.500000e-01,1.680777,9.523810e-01
121,60,60,5.000000e-01,1.680777,1.904762e+00
122,60,60,2.500000e-01,1.404093,8.095238e-01
123,60,60,1.250000e-01,1.680777,4.761905e-01
124,60,60,6.250000e-02,1.680777,2.380952e-01
125,60,60,5.000000e-01,1.404093,1.619048e+00
126,60,60,2.500000e-01,1.680777,9.523810e-01
127,60,60,5.000000e-01,1.680777,1.904762e+00
128,60,60,2.500000e-01,1.404093,8.095238e-01
129,60,60,1.250000e-01,1.680777,4.761905e-01
130,60,60,6.250000e-02,1.680777,2.380952e-01
131,60,60,5.000000e-01,1.404093,1.619048e+00
132,60,60,2.500000e-01,1.680777,9.523810e-01
133,60,60,5.000000e-01,1.680777,1.904762e+00
134,60,60,2.500000e-01,1.404093,8.095238e-01
135,60,60,1.250000e-01,1.680777,4.761905e-01
136,60,60,6.250000e-02,1.680777,2.380952e-01
137,60,60,5.000000e-01,1.404093,1.619048e+00
138,60,60,2.500000e-01,1.680777,9.523810e-01
139,60,60,5.000000e-01,1.680777,1.904762e+00
140,60,60,2.500000e-01,1.404093,8.095238e-01
141,60,60,1.250000e-01,1.680777,4.761905e-01
142,60,60,6.250000e-02,1.680777,2.380952e-01
143,60,60,5.000000e-01,1.404093,1.619048e+00
144,60,60,2.500000e-01,1.680777,9.523810e-01
145,60,60,5.000000e-01,1.680777,1.904762e+00
146,60,60,2.500000e-01,1.404093,8.095238e-01
147,60,60,1.250000e-01,1.680777,4.761905e-01
148,60,60,6.250000e-02,1.680777,2.380952e-01
149,60,60,5.000000e-01,1.404093,1.619048e+00
150,60,60,2.500000e-01,1.680777,9.523810e-01
151,60,60,5.000000e-01,1.680777,1.904762e+00
152,60,60,2.500000e-01,1.404093,8.095238e-01
153,60,60,1.250000e-01,1.680777,4.761905e-01
154,60,60,6.250000e-02,1.680777,2.380952e-01
155,60,60,5.000000e-01,1.404093,1.619048e+00
156,60,60,2.500000e-01,1.680777,9.523810e-01
157,60,60,5.000000e-01,1.680777,1.904762e+00
158,60,60,2.500000e-01,1.404093,8.095238e-01
159,60,60,1.250000e-01,1.680777,4.761905e-01
160,60,60,6.250000e-02,1.680777,2.380952e-01
161,60,60,5.000000e-01,1.404093,1.619048e+00
